iso_code,continent,Country_Region,Lat,Long_,last_updated_date,Confirmed,new_cases,Deaths,new_deaths,new_tests,Tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,population,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty
TUR,Asia,Turkey,38.9637,35.2433,2021-09-17,6794670,27692,61140,237,343142,81382545,0.077,12.9,104593216,52497989,41739242,85042736,31.6,8.153,5.061,25129.341,0.2
UGA,Africa,Uganda,1.373333,32.290275,2021-09-17,121984,200,3119,4,3374,1635630,0.035,28.2,,,,47123533,16.4,2.168,1.308,1697.707,41.6
UKR,Europe,Ukraine,48.3794,31.1656,2021-09-17,2442344,6940,58265,119,35171,12412498,0.142,7.1,11362214,6248153,5114061,43466822,41.4,16.462,11.133,7894.393,0.1
ARE,Asia,United Arab Emirates,23.424076,53.847818,2021-09-17,731828,521,2071,2,275823,79589959,0.002,487.3,19330107,9059751,7971790,9991083,34,1.144,0.526,67293.483,
GBR,Europe,United Kingdom,55,-3,2021-09-17,7406017,32566,135314,180,1063453,259880899,0.031,32.3,92826977,48528901,44298076,68207114,40.8,18.517,12.527,39753.244,0.2
USA,North America,United States,40,-100,2021-09-17,41993789,207886,672635,2635,382262,551079079,0.142,7,383994877,211097597,180572171,332915074,38.3,15.413,9.732,54225.446,1.2
URY,South America,Uruguay,-32.5228,-55.7658,2021-09-17,387449,150,6046,0,10352,3472637,0.018,55.8,6015778,2716871,2558759,3485152,35.6,14.655,10.361,20551.409,0.1
UZB,Asia,Uzbekistan,41.377491,64.585262,2021-09-17,167268,624,1179,4,,,,,17435318,9787973,3345225,33935765,28.2,4.469,2.873,6253.104,
VAT,Europe,Vatican,41.9029,12.4534,2021-09-17,27,0,,,,,,,,,,812,,,,,
VEN,South America,Venezuela,6.4238,-66.5897,2021-09-17,353401,2606,4275,30,,,,,11094206,6822809,4271397,28704947,29,6.614,3.915,16745.022,
VNM,Asia,Vietnam,14.058324,108.277199,2021-09-17,667650,11521,16637,212,209988,18407857,0.046,21.6,32296517,26307653,5988864,98168829,32.6,7.15,4.718,6171.884,2
YEM,Asia,Yemen,15.552727,48.516388,2021-09-17,8593,36,1628,9,,,,,322934,308025,14909,30490639,20.3,2.922,1.583,1479.147,18.8
ZMB,Africa,Zambia,-13.133897,27.849332,2021-09-17,208353,86,3637,1,6888,2375797,0.016,60.6,636600,311049,291947,18920657,17.7,2.48,1.542,3689.251,57.5
ZWE,Africa,Zimbabwe,-19.015438,29.154857,2021-09-17,127632,264,4562,2,6482,1200458,0.042,23.7,4964302,2930550,2033752,15092171,19.6,2.822,1.882,1899.775,21.4
